Name,Book of Introduction,Book of Introduction Number,Intro Chapter,Book of Death,Book of Death Number,Death Chapter
Aegon Frey (Jinglebell),A Storm Of Swords,3,49,A Storm Of Swords,3,51
Adrack Humble,A Dance With Dragons,5,20,A Dance With Dragons,5,20
Aemon Targaryen,A Game Of Thrones,1,21,A Feast For Crows,4,35
Aggar,A Clash Of Kings,2,50,A Clash Of Kings,2,56
Alan of Rosby,A Clash Of Kings,2,18,A Dance With Dragons,5,4
Alebelly,A Clash Of Kings,2,4,A Clash Of Kings,2,46
Allard Seaworth,A Clash Of Kings,2,10,A Clash Of Kings,2,10
Alyn,A Game Of Thrones,1,12,A Storm Of Swords,3,34
Amory Lorch,A Clash Of Kings,2,14,A Clash Of Kings,2,47
Anvil Ryn,A Storm Of Swords,3,34,A Storm Of Swords,3,34
Aron Santagar,A Game Of Thrones,1,18,A Clash Of Kings,2,41
Arys Oakheart,A Game Of Thrones,1,57,A Feast For Crows,4,21
Bannen, A Storm Of Swords,3,0,A Storm Of Swords,3,33
Barra,A Game Of Thrones,1,35,A Clash Of Kings,2,39
Barsena,A Dance With Dragons,5,11,A Dance With Dragons,5,52
Becca the Baker,A Storm Of Swords,3,34,A Storm Of Swords,3,34
